업소명,영업소 주소(도로명),소재지전화,영업자시작일
조인장모텔,부산광역시 기장군 기장읍 차성동로 52-14,051-721-2212,2010-07-29
올리브모텔,부산광역시 기장군 기장읍 대변로 20,051-721-7390,2006-04-26
늘봄모텔,부산광역시 기장군 일광읍 삼성3길 53-3,051-724-3360,2017-05-04
해변여관,부산광역시 기장군 일광읍 삼성3길 27,051-721-1882,2013-09-05
베스트루이스해밀턴호텔 기장점(BEST LOUIS HAMILTON HOTEL),부산광역시 기장군 기장읍 반송로 1545,051-721-2203,2024-06-17
뷰모텔,부산광역시 기장군 기장읍 연화길 76,051-724-9201,2023-06-07
호텔오월로,부산광역시 기장군 기장읍 차성로 365,051-722-4561,2018-09-28
호텔오즈,부산광역시 기장군 기장읍 기장해안로 530,051-722-9030,2021-08-30
초콜릿,부산광역시 기장군 기장읍 연화길 32,051-723-2988,2010-05-03
호텔리안,부산광역시 기장군 기장읍 차성로 367,051-722-4541,2021-06-02
넘버25호텔(No25Hotel),부산광역시 기장군 기장읍 차성로 390,051-722-4088,2018-05-23
기장힐,부산광역시 기장군 기장읍 차성로404번길 14,051-722-5925,2022-10-31
드림모텔,부산광역시 기장군 기장읍 차성로 398,051-722-4703,2017-07-28
이데아호텔,부산광역시 기장군 기장읍 차성로 403,051 -724 -2265,2016-11-01
브라운도트호텔 일광해수욕장점,부산광역시 기장군 일광읍 일역길 95-3,051 -722 -8045,2021-09-14
지앤지(G&G)모텔,부산광역시 기장군 기장읍 기장해안로 442,051 -724 -8544,2013-01-29
스테이화가,부산광역시 기장군 기장읍 연화길 10, 051- 722-5947,2022-06-07
짱모텔,부산광역시 기장군 기장읍 차성로 375,051 -722 -5662,2016-01-04
루이스호텔,부산광역시 기장군 기장읍 차성동로45번길 13, 051- 722-5020,2022-03-31
MVG모텔,부산광역시 기장군 기장읍 기장해안로 438, 051- 722-7727,2018-04-11
큐모텔,부산광역시 기장군 기장읍 차성로 370, 051- 721-7922,2018-01-31
몽블랑,부산광역시 기장군 일광읍 삼성1길 6, 051- 722-7698,2017-11-14
2PM호텔,부산광역시 기장군 기장읍 차성로 371,051 -722 -6935,2019-02-21
호텔페오,부산광역시 기장군 기장읍 차성로 397, 051- 723-0809,2012-07-12
헤이데이호텔,부산광역시 기장군 기장읍 반송로 1547,051 -806 -7788,2021-03-31
죽성여인숙,부산광역시 기장군 기장읍 두호길 31, 051- 722-7933,1997-01-03
꿈의궁전,부산광역시 기장군 기장읍 기장해안로 546, 051- 721-7488,2021-11-25
브라운도트 기장역점,부산광역시 기장군 기장읍 반송로 1523, 051-723 -6638,2023-01-26
골든베이,"부산광역시 기장군 기장읍 기장해안로 536, 1~2층", 051- 722-2260,2018-09-13
쉼표모텔,부산광역시 기장군 일광읍 삼성1길 13, 051- 723-9248,2015-12-15
넘버이십오(기장 연화리점),부산광역시 기장군 기장읍 연화길 64,051 -722 -8001,2020-01-30
하운드 오시리아점,부산광역시 기장군 기장읍 기장대로413번길 32, 051- 724-3100,2024-04-12
캐슬모텔,부산광역시 기장군 일광읍 삼성1길 5-7, 051- 723-0954,2012-11-26
브룩스호텔,부산광역시 기장군 기장읍 차성로 371, 051- 723-0497,2023-06-14
호시카와료칸호텔,부산광역시 기장군 기장읍 대변로 133, 051- 724-4301,2024-05-22
휴모텔,부산광역시 기장군 기장읍 대청로72번길 24-8, 051- 724-5335,2012-11-06
기장테마모텔,부산광역시 기장군 기장읍 차성동로45번길 26, 051- 724-0662,2022-06-17
동부산관광호텔,부산광역시 기장군 장안읍 장안로 38,051 -727 -9991,2007-08-06
브라운도트호텔(기장연화리점),부산광역시 기장군 기장읍 연화길 46-5,051 -723 -2146,2015-02-02
큐모텔,부산광역시 기장군 일광읍 일광로 88-1,051 -723 -1229,2020-12-23
케이투(K2),부산광역시 기장군 정관읍 산단1로 98-41,051 -728 -3443,2020-08-26
에이치에비뉴(H-AVENUE) 정관점,부산광역시 기장군 정관읍 산단2로 31-24,,2021-04-15
덴 바스타,부산광역시 기장군 정관읍 산단2로 31-38,051 -728 -0709,2022-05-12
호텔여기어때 정관점,부산광역시 기장군 정관읍 산단2로 31-32,051 -728 -1011,2024-02-29
호텔썸,부산광역시 기장군 정관읍 산단1로 98-25,051 -728 -5208,2024-02-02
세븐브릭스모텔,"부산광역시 기장군 정관읍 구연4로 20 ((3,4,5층))",051 -727 -1006,2018-10-01
호텔다온,"부산광역시 기장군 정관읍 구연4로 12 (해오름프라자 3,4,5층)",051 -727 -5559,2020-07-21
기장호텔,부산광역시 기장군 기장읍 차성남로 57,051 -721 -1850,2016-01-22
호텔라움,부산광역시 기장군 정관읍 산단1로 98-17,051 -728 -6038,2019-05-10
브라운도트호텔,"부산광역시 기장군 정관읍 산단1로 98-31, 1~8층",051 -728 -8100,2018-03-15
더원호텔,"부산광역시 기장군 정관읍 산단2로 31-4, 1~3층",051 -728 -4237,2017-01-26
아난티펜트하우스해운대,"부산광역시 기장군 기장읍 기장해안로 268-31, 지하3~지상10층",051 -723 -9633,2018-05-29
아난티 앳 부산 코브 호텔,"부산광역시 기장군 기장읍 기장해안로 268-32, 2층~10층",051 -509 -1111,2018-05-17
어베인(URBANE pool villa),"부산광역시 기장군 일광읍 일역길 78-1, 3~7층",,2024-05-31
해운대비치골프앤리조트,"부산광역시 기장군 기장읍 대변로 74, 해운대비치골프앤리조트",051-726-0707,2019-10-25
본레브호텔,"부산광역시 기장군 기장읍 기장해안로 460, 1~7(2층제외)층",,2021-03-15
타이드어웨이풀빌라,"부산광역시 기장군 기장읍 기장해안로 26, 지하1~지상4층",,2020-06-18
테라스,부산광역시 기장군 일광읍 기장해안로 1309-4,,2022-05-16
하운드기장일광,부산광역시 기장군 일광읍 해송3로 2,,2024-03-20
빌라드연화,"부산광역시 기장군 기장읍 연화1길 21, 3,4층",,2021-07-22
주식회사 케니스테이부산기장,부산광역시 기장군 기장읍 차성남로51번길 26,051-990-1100,2024-02-02
기장 일광 더뮤즈호텔 앤 레지던스,"부산광역시 기장군 일광읍 해송3로 4, 1~11층",051-723-8285,2021-12-17
베스트루이스해밀턴호텔 오션테라스,부산광역시 기장군 기장읍 연화1길 27,,2024-04-24
엘모멘토 오시리아,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 101~104동 43호",,2022-05-04
르컬렉티브 부산롯데월드,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 101~104동 79호",,2022-05-16
마티에 오시리아,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 105동 1-24층 200호",051-983-5500,2022-06-13
스테이오,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 1-4동 2-26층 34호",,2022-06-23
더클럽호텔(기장연화리점),"부산광역시 기장군 기장읍 연화길 78, 지하1층~지상11층",,2022-07-04
하운드호텔 정관,부산광역시 기장군 정관읍 산단1로 98-11,051-728-1800,2022-07-08
와이컬렉션 by UH FLAT 오시리아,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 101~104동 83호",051-723-7275,2022-12-06
씨앤트리,"부산광역시 기장군 일광읍 일광로 808, 3,4층 201,301,302호",,2023-01-18
메르벨르B,"부산광역시 기장군 일광읍 장곡길 83-12, 1,2,3,4층",,2023-03-16
메르벨르A,"부산광역시 기장군 일광읍 장곡길 83-10, B1,1,2,3,4층",,2023-03-16
오실라,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 101호~104동 46호실호",,2023-04-10
에이치에비뉴 기장일광점,"부산광역시 기장군 일광읍 해송4로 3, 지하1층~지상15층층",,2023-04-26
아난티 앳 부산 빌라쥬,"부산광역시 기장군 기장읍 기장해안로 267-17, 아난티 앳 부산 1-12층",026-742-1565,2023-07-14
빌라쥬드 아난티 클리퍼,"부산광역시 기장군 기장읍 기장해안로 267-7, A,B,C,D동 지하1-지상12층",026-742-1566,2023-07-14
빌라쥬드 아난티 빌라동,"부산광역시 기장군 기장읍 기장해안로 267-17, 스프링하우스맨션, 풀하우스맨션, 매너하우스 1-3층",026-742-1567,2023-07-14
이제 부산,"부산광역시 기장군 기장읍 연화길 70, 1~8층",,2023-08-10
뉴시즈 오시리아 레지던스,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 101~104동 2~26층 47개호",,2023-09-11
카이브 기장일광점,"부산광역시 기장군 일광읍 삼성3길 7, 3,4층",,2024-03-04
헤이든 풀빌라,"부산광역시 기장군 일광읍 문오성길 22, 1,2,3층",,2024-04-24
흘로 부산(Hlow Busan),부산광역시 기장군 기장읍 대변3길 11,,2024-02-07
문베이,부산광역시 기장군 일광읍 기장해안로 1322,,2024-02-15
(주)그랜드오시리아레지던스,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 101~104동 30호",,2024-04-19
하이바이풀빌라,"부산광역시 기장군 장안읍 반룡로 276, 1~7동",,2024-06-11
